what,kind,bundleId,bundleVersion,description,time
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1317825256307
java.specification.name,sysinfo,,,"Java Platform API Specification",1317825256307
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317825256307
java.specification.version,sysinfo,,,"1.6",1317825256307
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1317825256307
java.version,sysinfo,,,"1.6.0_21",1317825256307
java.vm.info,sysinfo,,,"mixed mode",1317825256307
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1317825256307
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1317825256307
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1317825256307
java.vm.specification.version,sysinfo,,,"1.0",1317825256307
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1317825256307
java.vm.version,sysinfo,,,"17.0-b17",1317825256307
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1317825257080
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1317825257170
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1317825258101
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1317825258103
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1317825258318
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1317825258537
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1317825264556
started,bundle,org.eclipse.jdt.debug,3.6.0.v20100526,"org.eclipse.jdt.debug",1317825265385
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1317825266064
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavadocView",1317825269007
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317825269020
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317825269195
started,bundle,com.vp.vpsde.ec,5.2.1.2,"com.vp.vpsde.ec",1317825270505
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1317825278774
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317825293180
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317825297361
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317825298174
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317825310490
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317825363560
executed,command,org.eclipse.ui.ide,3.6.0.I20100601-0800,"org.eclipse.ui.project.properties",1317825363596
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317825366643
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1317825368641
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1317825369582
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1317825374911
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.ClassFileEditor",1317825375103
